V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111
YEAR,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120
Uranium,1.286,1.293300676,1.289840578,1.29113181,1.29409553,1.297415865,1.297187242,1.302282058,1.305917909,1.299344595,1.298967206,1.297707954,1.302916943,1.301288241,1.294970406,1.298659845,1.303247538,1.306140107,1.310412654,1.311453751,1.318235235,1.312851045,1.306951918,1.307804019,1.306821966,1.297732611,1.294808219,1.288279537,1.296278252,1.298655176,1.297681332,1.292616423,1.291483228,1.294356389,1.296547057,1.290843292,1.292193322,1.287602948,1.290828669,1.28864285,1.284567678,1.274337422,1.282576526,1.280266731,1.276153496,1.277002163,1.275170624,1.268429229,1.270710521,1.272340277,1.272135464,1.271924547,1.262238531,1.26239578,1.260474138,1.259238756,1.264362659,1.260920218,1.257538259,1.251109129,1.254148188,1.256176675,1.255596359,1.248972493,1.248169857,1.253579033,1.255194478,1.251288169,1.249316186,1.248795782,1.248584796,1.249189116,1.246991305,1.253768668,1.252990039,1.257631691,1.258110735,1.258583287,1.259619978,1.256400369,1.259790347,1.259342525,1.263104123,1.255036808,1.249154577,1.245451091,1.248074989,1.242867127,1.238737995,1.237712284,1.234521865,1.241380237,1.237662557,1.245952771,1.245737353,1.236140882,1.238075235,1.235740262,1.239791077,1.233434038,1.230634816,1.239822651,1.242835524,1.237097812,1.242844366,1.239221587,1.24928984,1.255575668,1.257315079,1.25220299
Lignite,1.427777777,1.428334092,1.429805532,1.434423514,1.429373721,1.427229326,1.427795657,1.428518416,1.431359113,1.42547676,1.427869711,1.423596602,1.42562216,1.419529496,1.419809301,1.425504761,1.428857515,1.431974867,1.427442579,1.438033318,1.434191668,1.441355767,1.443829853,1.445655491,1.4384406,1.436754681,1.447385284,1.444193746,1.453761298,1.447759456,1.443921895,1.449176259,1.456181992,1.453997254,1.455677942,1.458292727,1.464901022,1.466461647,1.459835147,1.467180964,1.461211271,1.454738999,1.454423225,1.446977631,1.460342732,1.463946904,1.453762425,1.45020096,1.44743817,1.443503928,1.451387847,1.453864369,1.460212611,1.454552017,1.445517647,1.44450617,1.457214369,1.465163243,1.470507895,1.471461734,1.474063402,1.477080801,1.477988784,1.483081489,1.483870137,1.477396278,1.478254929,1.480836963,1.472433861,1.473740991,1.484906833,1.473855703,1.474453359,1.47724868,1.479659231,1.482930893,1.476289063,1.469107205,1.462035823,1.456781642,1.450095775,1.455104282,1.453625965,1.453926047,1.455459744,1.466236402,1.467523507,1.472458885,1.464051643,1.467021574,1.470000245,1.467777204,1.462421652,1.465549013,1.465980135,1.459597872,1.465440249,1.463840441,1.459516894,1.467019043,1.463617695,1.467885724,1.475159288,1.478060417,1.472188493,1.469625175,1.465774434,1.475834318,1.479106891,1.482436958
Biomass,4.5,4.4783273,4.49927537,4.452314073,4.562226735,4.505914244,4.602669525,4.484171749,4.70784715,4.602542083,4.56680934,4.407448752,4.327180111,4.35141324,4.553193193,4.571895029,4.630107051,4.679647056,4.780670563,4.852527275,5.013286004,5.14542447,5.124232318,5.153788488,5.262624761,5.309994419,5.235872179,5.441621985,5.49855558,5.464704576,5.608927202,5.879353449,5.859232574,5.911009433,5.94408041,5.987096303,6.274220867,6.429302419,6.418682048,6.650159444,6.748518246,7.046663048,7.058873444,7.370141612,7.19212559,7.087856161,7.224613458,7.451761764,7.220500118,7.623008793,7.721337221,7.631234388,7.772062425,7.868423975,7.715313883,7.839576004,7.980950326,8.197562434,8.126717072,8.265874648,8.53683706,8.714785663,8.880902512,8.645517664,8.966065953,9.13842351,9.129693093,8.9438728,9.241228635,9.245316285,9.329049252,9.254023692,9.810794112,9.727913394,9.769024656,9.71838312,9.564860807,9.995533064,10.45922028,10.46639825,10.50347023,10.50184163,10.72532694,11.09871813,11.28027856,11.23370273,11.33911466,11.27644608,11.26445907,11.06352293,11.32426015,11.54906124,11.84407165,12.03924038,12.13124666,12.19644911,12.86370003,12.99965741,13.12191335,12.82923725,13.16384818,13.67600083,13.72937628,13.39969837,13.33882123,13.93558114,14.13870005,14.13026514,14.11598334,14.1874772
Coal,3.691741937,3.695474192,3.70609862,3.697885374,3.741637611,3.806319931,3.794213975,3.903980484,3.949727152,3.996571967,4.059626426,4.106191527,4.283388,4.229885358,4.155480659,4.217839402,4.257900443,4.162180767,4.112051771,4.15186534,4.149506665,4.111918668,4.095184147,4.156070674,4.182336332,4.114063988,4.201720727,4.261840731,4.348925005,4.26042233,4.241957601,4.293255053,4.457627049,4.393076538,4.436742249,4.42780698,4.580779142,4.620932074,4.636652994,4.672758914,4.724613863,4.849084075,4.927221497,4.865482313,4.835217586,4.82265514,4.904228228,5.009364569,4.995412963,4.947407595,5.096792812,5.16124315,5.071229798,5.154985422,5.066728957,5.088998066,5.045758916,5.122744082,5.229194637,5.309282576,5.36928365,5.536759354,5.606874237,5.806235231,5.865669144,5.971392496,6.057345014,6.052789062,6.155736166,6.439796962,6.40584997,6.35246035,6.181262286,6.391080108,6.388002245,6.383570112,6.551935178,6.519234238,6.354195185,6.264471326,6.458781573,6.636105105,6.760722083,6.828148075,7.006550259,6.928894204,6.890024112,6.978980392,6.973902751,6.897634831,6.93307329,6.80951403,6.925420083,6.983491504,7.156949885,7.258726842,7.273645189,7.551350854,7.383909667,7.505453919,7.577858259,7.504237561,7.641702078,7.869524812,8.010826248,8.064231133,7.994014103,8.225670784,8.521711357,8.79360953
Gas,7.5,7.241930855,7.652742629,7.961933965,8.313960204,8.257354855,8.403121258,8.526915048,8.697693152,8.985871826,8.698567447,8.846155103,9.310322728,9.778773146,10.13262586,10.70644111,10.30133922,10.00907623,10.39365137,10.20793188,10.88296371,10.76055821,10.67824113,10.59031593,10.61563042,11.32559831,11.87153484,11.61662142,11.65335464,12.36179655,12.82614438,12.23782052,12.26332028,11.99158679,11.745493,12.03972884,12.83325454,13.20214008,12.69434348,13.09478799,12.69027405,13.17565375,13.81842202,13.9799368,14.26424679,14.96111085,15.02362998,16.05338665,16.15183163,17.05770055,16.69186061,17.37941036,17.88320072,18.84636941,19.35148862,20.79984215,21.48617652,21.7189857,20.96123311,21.00334918,20.3898881,20.56203276,21.44555531,20.50767907,21.93713876,22.43660606,21.83694024,22.47837758,23.3021731,23.87964125,25.24194317,25.58341212,26.75358282,26.39228366,26.61055383,27.01222353,26.700513,26.65874745,26.17201351,26.3881139,26.55580124,25.64537457,25.46350355,26.13736961,26.65748269,28.00053863,28.09871274,28.89124078,29.41078725,29.73301093,29.3827304,30.37714932,30.61566201,30.85254425,31.98455907,32.80705696,33.68776685,33.58747639,34.24021542,34.48953304,35.87530632,36.76346081,35.82260405,35.06251277,37.55499841,38.3097174,38.7965722,39.96990553,40.70964341,43.13470246
